"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","county_clean","year","emissions_mtco2e"
1000365,"110064780349","Kersey Valley MSW Landfill","High Point","NC","27261","3940 E. Kivett Drive","GUILFORD COUNTY",35.9556,-79.9256,562212,"HH","Waste","GUILFORD",2019,94134
1000365,"110064780349","Kersey Valley MSW Landfill","High Point","NC","27261","3940 E. Kivett Drive","GUILFORD COUNTY",35.9556,-79.9256,562212,"HH","Waste","GUILFORD",2020,98375.75
1000365,"110064780349","Kersey Valley MSW Landfill","High Point","NC","27261","3940 E. Kivett Drive","GUILFORD COUNTY",35.9556,-79.9256,562212,"HH","Waste","GUILFORD",2021,102389.5
1000365,"110064780349","Kersey Valley MSW Landfill","High Point","NC","27261","3940 E. Kivett Drive","GUILFORD COUNTY",35.9556,-79.9256,562212,"HH","Waste","GUILFORD",2022,104607.25
1000365,"110064780349","Kersey Valley MSW Landfill","High Point","NC","27261","3940 E. Kivett Drive","GUILFORD COUNTY",35.9556,-79.9256,562212,"HH","Waste","GUILFORD",2023,106752.75
1000459,"110020901194","NCEMC Anson Plant","LILESVILLE","NC","28091","749 BLEWETT FALLS ROAD","Anson",34.9708,-79.9208,221112,"C,D","Power Plants","ANSON",2019,57206.43
1000459,"110020901194","NCEMC Anson Plant","LILESVILLE","NC","28091","749 BLEWETT FALLS ROAD","Anson",34.9708,-79.9208,221112,"C,D","Power Plants","ANSON",2020,49776.816
1000459,"110020901194","NCEMC Anson Plant","LILESVILLE","NC","28091","749 BLEWETT FALLS ROAD","Anson",34.9708,-79.9208,221112,"C,D","Power Plants","ANSON",2021,63981.556
1000459,"110020901194","NCEMC Anson Plant","LILESVILLE","NC","28091","749 BLEWETT FALLS ROAD","Anson",34.9708,-79.9208,221112,"C,D","Power Plants","ANSON",2022,206629.062
1000459,"110020901194","NCEMC Anson Plant","LILESVILLE","NC","28091","749 BLEWETT FALLS ROAD","Anson",34.9708,-79.9208,221112,"C,D","Power Plants","ANSON",2023,52913.716
1000462,"110022483258","NCEMC Hamlet Plant","HAMLET","NC","28345","162 COOPERATIVE WAY","Richmond",34.8422,-79.7367,221112,"C,D","Power Plants","RICHMOND",2019,54935.542
1000462,"110022483258","NCEMC Hamlet Plant","HAMLET","NC","28345","162 COOPERATIVE WAY","Richmond",34.8422,-79.7367,221112,"C,D","Power Plants","RICHMOND",2020,33857.426
1000462,"110022483258","NCEMC Hamlet Plant","HAMLET","NC","28345","162 COOPERATIVE WAY","Richmond",34.8422,-79.7367,221112,"C,D","Power Plants","RICHMOND",2021,63748.964
1000462,"110022483258","NCEMC Hamlet Plant","HAMLET","NC","28345","162 COOPERATIVE WAY","Richmond",34.8422,-79.7367,221112,"C,D","Power Plants","RICHMOND",2022,108951.316
1000462,"110022483258","NCEMC Hamlet Plant","HAMLET","NC","28345","162 COOPERATIVE WAY","Richmond",34.8422,-79.7367,221112,"C,D","Power Plants","RICHMOND",2023,43516.374
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants","CLEVELAND",2019,544122.17
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants","CLEVELAND",2020,324171.936
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants","CLEVELAND",2021,502700.15
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants","CLEVELAND",2022,680754.1
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants","CLEVELAND",2023,356228.974
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals","GUILFORD",2019,32314.58
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals","GUILFORD",2020,32432.928
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals","GUILFORD",2021,31997.98
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals","GUILFORD",2022,34254.372
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals","GUILFORD",2023,36504.464
