"Facility Id","FRS Id","Facility Name","City","State","Zip Code","Address","County","Latitude","Longitude","Primary NAICS Code","Latest Reported Industry Type (subparts)","Latest Reported Industry Type (sectors)","2023 Total reported direct emissions","2022 Total reported direct emissions","2021 Total reported direct emissions","2020 Total reported direct emissions","2019 Total reported direct emissions","2018 Total reported direct emissions","2017 Total reported direct emissions","2016 Total reported direct emissions","2015 Total reported direct emissions","2014 Total reported direct emissions","2013 Total reported direct emissions","2012 Total reported direct emissions","2011 Total reported direct emissions"
1006145,"110000559609","CHEMOURS COMPANY - FAYETTEVILLE WORKS","FAYETTEVILLE","NC","28306","22828 NC HIGHWAY 87 WEST","BLADEN COUNTY",34.8419,-78.8388,325120,"C,L,OO","Chemicals,Industrial Gas Suppliers",46277.309,47608.0021,49966.266087,55586.52012,681145.82,553482.776186,511699.346268,619915.531944,645558.937466,497579.076853,474980.219771,398328.432083,501502.411271
1005594,"110060422760","CITY OF ALBEMARLE LANDFILL","ALBEMARLE","NC","28002","40592B Stony Gap Road","STANLY COUNTY",35.3173,-80.1658,562212,"HH","Waste",61211.25,60786.25,59591.75,58443.25,57502.5,56408.25,54990.5,47650.5,33250,32373.75,31918.25,38017,37461.25
1007078,"110001503472","CITY OF DURHAM SANITARY LANDFILL","DURHAM","NC","27704","2115 EAST CLUB BLVD","DURHAM",36.025818,-78.856501,562212,"HH","Waste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12067.5,9910,12311.25
1006978,"110009717039","CITY OF GREENSBORO WHITE STREET LANDFILL","GREENSBORO","NC","27405","2503 WHITE STREET","GUILFORD COUNTY",36.1089,-79.72148,562212,"HH","Waste",220459.75,206466.75,156615,176907,179535.25,282115.75,279215.25,337242,304489.75,254689.5,277582.5,318875.544,208988.29
1005825,"110071162427","CLEVELAND COUNTY LANDFILL","SHELBY","NC","28152","200 South Post Road, OFF AIRPORT","CLEVELAND COUNTY",35.300926,-81.545135,562212,"HH","Waste",143437,139753,135704.75,132001.5,151973.5,120881,141833.25,139203,136612,133325.25,130501,127530.75,123578.25
1004136,"110043785909","COVATION BIOMATERIALS KINSTON SITE","Grifton","NC","28530","4693 N. C. HIGHWAY, 11 NORTH","LENOIR COUNTY",35.3306,-77.4772,325211,"C","Other",34955.468,38857.004,42689.34,34256.472,37290.06,39362.7,37150.95,36000.964,33418.212,36545,36706.312,36151.864,36226.902
1000226,"110000347045","CPI USA North Carolina Roxboro","ROXBORO","NC","27573","331 ALLIE CLAY RD","Person",36.435,-78.9619,221112,"C","Power Plants",NA,NA,41023.084,219156.094,224639.678,221991.592,233935.044,227762.536,206054.98,156828.768,154142.228,131416.476,113637.668
1000225,"110043787783","CPI USA North Carolina Southport","SOUTHPORT","NC","28461","1281 POWERHOUSE DR SE","Brunswick",33.9444,-78.0125,221112,"C","Power Plants",NA,NA,69232.782,390883.328,403284.514,381133.178,402765.12,469143.494,462904.126,338270.452,328515.474,360144.594,316182.886
1001627,"110060396432","CUMBERLAND COUNTY ANN STREET LANDFILL","FAYETTEVILLE","NC","28301","698 ANN STREET","CUMBERLAND COUNTY",35.0639,-78.87082,562212,"C,HH","Waste",75195.5,60068.5,67818.5,65407,67144.25,64609.5,56597.25,65053.55,48615.1,43338.1,36238.85,44122.65,38385.5
1000785,"110071160857","Cape Fear Steam Electric Plant","MONCURE","NC","27559","500 CP&L ROAD","Chatham",35.595,-79.0492,221112,"C","Power Plants",82993.284,87493.622,79344.594,NA,NA,NA,NA,NA,NA,0,1054.032,436361.31,1038006.85
1005124,"110000349515","Cargill Inc","Charlotte","NC","28217","5000 South Blvd","MECKLENBURG COUNTY",35.16941,-80.876,311222,"C","Other",NA,NA,NA,NA,NA,NA,NA,17565.184,17687.184,18314.732,15815.14,18713.98,23153.212
1003495,"110009849968","Cargill, Inc.","Fayetteville","NC","28312","1754 River Road","CUMBERLAND COUNTY",35.087889,-78.844949,311221,"C","Other",66582.646,59216.174,42646.968,38514.4,41133.126,36820.964,29781.162,33256.782,33367.02,32457.092,31400.28,27438.874,21260.398
1005354,"110000348749","Carolina Stalite Company","Norwood","NC","28128","12423 Old Aquadale Rd.","STANLY COUNTY",35.229466,-80.243888,327992,"C","Minerals",19189.362,20382.412,20046.224,20204.618,21937.506,25569.08,NA,NA,NA,NA,NA,NA,NA
1010363,"110010718884","Cascades Tissue Group North Carolina","Rockingham","NC","28379","805, Midway Road","RICHMOND COUNTY",34.954075,-79.809005,322120,"C","Pulp and Paper",19706.676,24695.356,14590.244,25079.554,23628.96,24588.008,23753.16,24295.408,24994.956,25436.404,NA,NA,NA
1011645,"110040757142","CertainTeed Gypsum NC, Inc.","Semora","NC","27343","921 Shore Road","PERSON COUNTY",36.49011,-79.055977,327420,"C","Minerals",31009.784,37237.96,34938.268,31350.632,25746.204,40970.296,52841.252,65112.104,57165.784,50997.808,43361.336,NA,NA
1003099,"110070081851","Charlotte Motor Speedway Landfill V","CONCORD","NC","28027","5105 MOREHEAD ROAD","CABARRUS COUNTY",35.345247,-80.682062,562212,"HH","Waste",196456.5,181540.75,160698.25,176044.25,171309.5,151951.5,196161.75,200397.75,167877.5,184842.75,227100,224240,287730
1010974,"110071159965","Clearwater Paper Shelby, LLC","Shelby","NC","28150","617 Washburn Switch Rd.","CLEVELAND COUNTY",35.310018,-81.603346,322120,"C","Pulp and Paper",78237.756,80545.348,77655.008,79721.7,66009.7,55544.54,55606.44,53819.848,53626.048,58629.08,52048.904,NA,NA
1000565,"110039620292","Cleveland County Generating Facility","Grover","NC","28073","200 Elm Road","Cleveland",35.1706,-81.4161,221112,"C,D","Power Plants",356228.974,680754.1,502700.15,324171.936,544122.17,435049.042,481888.162,445925.736,580378.324,415043.088,157993.01,18592.336,NA
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants",3711093.676,3071804.156,3329380.932,4201415.576,5253472.242,4903202.502,5005112.212,3290301.298,3568615.18,5158890.464,5292863.532,1255122.184,2327522.234
1000227,"110007377739","Coastal Carolina Clean Power LLC","KENANSVILLE","NC","28349","1838 NC 11 & 903","Duplin",35.0225,-77.8575,221112,"C","Power Plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45635.718,7886.46,8567.67
