"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","emissions_2023","emissions_2022","emissions_2021","emissions_2020","emissions_2019","county_clean"
1006213,"110070834613","Darling Ingredients, Inc. - Rose Hill","Rose Hill","NC","28458","469 Yellow Cut Rd.","DUPLIN COUNTY",34.838207,-78.035053,311613,"C","Other",40201.248,42245.64,42167.392,42176.886,31982.628,"DUPLIN"
1002637,"110008055674","Darling Ingredients, Inc. - Wadesboro","Wadesboro","NC","28170","656 Little Duncan Rd.","ANSON COUNTY",35.03532,-80.082805,311613,"C","Other",31399.632,29994.088,29454.588,31692.38,30094.236,"ANSON"
1004204,"110043787015","Davidson County Integrated Solid Waste Management Dept.","Thomasville","NC","27360","1242 Old Highway 29","DAVIDSON COUNTY",35.85308,-80.17695,562212,"HH","Waste",73681.25,68374.25,62937.75,63312.5,54579,"DAVIDSON"
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste",195444.684,162656.388,170369.864,103113.146,176119.524,"MARTIN"
1000392,"110000348954","Durafiber Technologies","SALISBURY","NC","28147","7401 STATESVILLE BOULEVARD","ROWAN COUNTY",35.7133,-80.6122,325222,"C","Other",NA,NA,NA,NA,NA,"ROWAN"
1003101,"110060467926","EAST CAROLINA REGIONAL LANDFILL","AULANDER","NC","27805","1922 REPUBLICAN ROAD","BERTIE COUNTY",36.11558,-77.07097,562212,"HH","Waste",92680,95345,105511,103264.75,105594.5,"BERTIE"
1000554,"110013975706","EDGECOMBE COUNTY LANDFILL","TARBORO","NC","27886","2861 COLONIAL ROAD","EDGECOMBE",35.914656,-77.583985,562212,"C,HH","Waste",NA,NA,NA,NA,NA,"EDGECOMBE"
1014336,"110070386075","EGGER Wood Products, LLC","Linwood","NC","27299","300 Egger Parkway","DAVIDSON COUNTY",35.740731,-80.343295,321219,"C","Other",45139.988,45787.164,34004.96,NA,NA,"DAVIDSON"
1002262,"110000349070","ELECTRIC GLASS FIBER AMERICA, LLC","SHELBY","NC","28150","940 WASHBURN SWITCH RD.","CLEVELAND COUNTY",35.33104,-81.62436,327212,"C,N","Minerals",72506.962,85261.564,98337.684,64929.996,89744.928,"CLEVELAND"
1005640,"110000350272","ELEMENTIS CHROMIUM","CASTLE HAYNE","NC","28429","5408 HOLLY SHELTER ROAD","NEW HANOVER COUNTY",34.372516,-77.859466,325180,"C,U","Chemicals",120282.924,149925.54,152469.036,134720.848,138950.38,"NEW HANOVER"
1000704,"110057298446","EVONIK SUPERABSORBER LLC","GREENSBORO","NC","27406","2401 DOYLE STREET","GUILFORD COUNTY",36.0441,-79.78814,325199,"C","Chemicals",36504.464,34254.372,31997.98,32432.928,32314.58,"GUILFORD"
1000231,"110022568531","Edgecombe Genco, LLC","BATTLEBORO","NC","27809","6358 OLD BATTLEBORO RD 27809","Edgecombe",36.0378,-77.7542,221112,"D","Power Plants",NA,NA,NA,NA,NA,"EDGECOMBE"
1002322,"110000346082","Electric Glass Fiber America, LLC","LEXINGTON","NC","27292","473 NEW JERSEY CHURCH ROAD","DAVIDSON COUNTY",35.75525,-80.28116,327212,"C,N","Minerals",32838.9,46940.9,38721.874,15469.7,36867.434,"DAVIDSON"
1001211,"110000349882","Elizabethtown Power","ELIZABETHTOWN","NC","28337","3100 WEST BROAD ST","Bladen",34.6474,-78.6407,221112,"D","Power Plants",NA,NA,NA,NA,NA,"BLADEN"
1004405,"110014016607","FELTONSVILLE LANDFILL","APEX","NC","27502","6000 OLD SMITHFIELD ROAD","WAKE",35.6811,-78.8499,562212,"HH","Waste",NA,NA,NA,NA,NA,"WAKE"
1005424,"110000349383","FRITO-LAY, INCORPORATED","CHARLOTTE","NC","28273","2911 NEVADA BV","MECKLENBURG COUNTY",35.11746,-80.94108,311919,"C","Other",26630.7,27414.196,27150.048,25203.656,NA,"MECKLENBURG"
1007044,"110034168512","Foothills Environmental","Lenoir","NC","28645","2800 Cheraw Road","CALDWELL COUNTY",35.914488,-81.593527,562212,"HH","Waste",46222.75,54764.5,58735.75,69829.5,55736,"CALDWELL"
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants",141042.74,300842.644,200401.368,535362.742,968124.032,"GASTON"
1005137,"110056321822","GASTON COUNTY LANDFILL","DALLAS","NC","28034","3155 PHILADELPHIA CHURCH RD","GASTON COUNTY",35.38868,-81.17202,562212,"HH","Waste",57758,61837.75,62129.5,68057.25,71643.75,"GASTON"
1007998,"110000347161","GSK, INC.","ZEBULON","NC","27597","1011 NORTH ARENDELL AVENUE","WAKE COUNTY",35.832054,-78.319739,325412,"C,OO","Chemicals,Industrial Gas Suppliers",8129.62,8524.468,8130.02,8637.968,9136.916,"WAKE"
1003507,"110012474697","Gerdau Ameristeel US, Inc - Charlotte Mill","CHARLOTTE","NC","28269","6601 LAKEVIEW ROAD","MECKLENBURG COUNTY",35.33908,-80.83114,331110,"C,Q","Metals",50136.46,54655.352,62120.396,55922.208,55844.008,"MECKLENBURG"
1002857,"110001102958","GlaxoSmithKline","Research Triangle Park","NC","27709","Five Moore Drive","DURHAM COUNTY",35.939776,-78.863888,325411,"C","Chemicals",NA,NA,NA,NA,NA,"DURHAM"
1002888,"110023154931","Gold Bond - MTH Plant","MOUNT HOLLY","NC","28120","1725 DRYWALL DR","GASTON COUNTY",35.3245,-80.9996,327420,"C","Minerals",85511.828,90377.16,88122.968,86780.124,87297.872,"GASTON"
1013623,"110001480415","Gold Bond - WLM Plant","Wilmington","NC","28412","838 Sunnyvale Drive","NEW HANOVER COUNTY",34.17215,-77.94659,327420,"C","Minerals",40328.748,39350.152,37295.16,31882.08,28775.492,"NEW HANOVER"
